100m,long jump,shot put,high junp,400m,110mH,discus throw,pole vault,javelin throw,1500m
1066,1123,777,822,934,1045,843,880,790,738
933,935,794,878,800,987,830,972,937,660
1013,970,758,906,994,964,754,910,695,685
935,886,826,794,897,971,776,941,876,709
992,972,809,794,962,925,811,910,696,733
963,862,789,850,858,910,764,1004,744,691
935,871,814,822,851,870,865,880,913,593
876,957,787,794,862,920,809,941,752,715
938,886,727,850,909,958,740,880,675,759
931,908,753,850,927,921,680,790,711,765
852,900,765,794,897,905,782,849,714,755
899,878,784,822,898,856,834,849,612,744
852,797,865,767,851,856,808,941,730,664
841,930,757,822,901,882,720,849,795,629
791,903,725,822,777,870,795,1067,598,689
847,852,789,767,842,930,775,790,761,651
821,821,767,714,866,913,868,790,794,589
956,905,736,822,847,901,663,790,656,604
892,821,727,767,772,794,836,849,772,633